"INF06_01","INF06_02","INF06_03","INF24_01","INF24_02","INF24_03","INF48_01","INF48_02","INF48_03","CON06_01","CON06_02","CON06_03","CON24_01","CON24_02","CON24_03","CON48_01","CON48_02","CON48_03"
191,162,162,236,258,135,239,258,295,153,212,212,144,244,217,121,240,125
0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0
1328,1410,1410,509,1186,1107,855,364,1222,1231,936,936,1527,653,705,0,502,1365
2866,2395,2395,1050,930,897,1757,922,439,2355,2740,2740,1123,962,559,549,831,789
6741,549,549,143,3440,2305,1469,4493,5384,2888,605,605,5181,1822,3492,1747,2532,397
266,391,391,612,102,0,259,391,301,417,264,264,315,602,463,317,254,230
0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,25,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
210,227,227,640,0,169,162,273,0,141,221,221,365,201,133,132,507,719
6,490,490,345,352,336,942,1029,0,0,580,580,691,388,452,526,0,766
0,0,0,0,0,0,0,0,0,0,0,0,0,1129,0,0,0,0
1772,0,0,925,503,72,1143,1329,22,1375,1642,1642,1154,735,1484,96,238,1071
4493,3189,3189,0,3381,6756,3333,7692,1558,4955,5017,5017,4005,5122,6611,11248,5270,4069
7193,7112,7112,6802,5017,6512,7171,6865,7446,6087,7011,7011,7717,7356,7709,6046,6661,6662
2594,2807,2807,4608,5919,3302,4035,3891,4193,2597,2705,2705,3151,3248,3416,2328,4070,4296
3165,3473,3473,3231,2868,3089,2556,2728,3001,2586,4134,4134,4106,2747,3340,2165,3367,2948
3564,456,456,1438,1137,3225,944,1911,1303,4131,419,419,2619,996,3517,2053,2578,613
0,0,0,4232,4168,2321,0,361,0,1047,864,864,2247,0,2385,4073,2412,0
587,0,0,1858,1521,0,0,1132,1057,734,128,128,0,0,1581,330,1035,1242
0,0,0,0,0,49,0,77,0,0,0,0,136,0,0,0,0,0
323,192,192,279,32,0,0,0,0,150,34,34,0,0,158,169,0,0
0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0
727,765,765,922,852,717,735,954,712,709,734,734,848,918,925,964,924,888
0,0,0,138,0,0,0,0,7,0,25,25,0,0,0,0,0,116
0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0
2525,3933,3933,4056,3895,3277,2849,2716,2934,4223,4029,4029,3402,4346,2599,2312,1884,3155
0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,108,0,50,0,0,0,0,0,80,0,0,0
280,484,484,810,836,852,637,370,360,212,292,292,1042,0,1271,842,1019,1560
110,316,316,440,101,376,0,152,0,281,0,0,401,356,0,0,0,0
0,0,0,0,0,0,0,0,0,0,101,101,0,6,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,598,598,924,1175,909,1190,1223,1294,1123,1898,1898,879,411,873,806,868,501
1811,1883,1883,1452,3365,404,2067,1938,3569,2236,1485,1485,1592,2687,241,2672,898,1254
0,0,0,79,0,0,0,109,0,0,98,98,0,0,0,0,0,0
0,0,0,292,559,0,0,0,240,0,544,544,0,272,712,922,343,0
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,625,625,0,0,0,1017,0,0,614,0,0,0,0,124,0,139,138
525,1965,1965,2317,1286,0,323,147,1483,1886,0,0,0,1062,1324,0,131,1354
0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,589,0
0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
0,38,38,135,0,37,0,0,0,0,0,0,71,0,70,0,38,0
1030,1171,1171,772,0,0,667,1542,724,815,0,0,1301,1203,878,606,0,0
0,0,0,0,136,0,0,222,0,0,0,0,253,0,0,0,0,0
877,0,0,474,704,721,654,577,559,284,187,187,666,331,522,214,211,884
362,189,189,2194,3533,4254,2021,1861,679,233,432,432,2674,1915,2266,2986,2846,2227
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2253,988,988,1610,2451,1645,1242,1942,1565,2263,1664,1664,2471,2560,1901,2172,2190,2041
0,644,644,444,0,0,827,324,337,416,465,465,125,0,0,134,0,185
7985,9274,9274,4595,6060,1251,5797,4764,6151,7784,2992,2992,5581,8159,5376,2725,10742,3373
538,339,339,0,442,0,530,117,872,290,337,337,239,99,209,0,235,0
0,0,0,0,871,1040,0,0,0,0,993,993,1000,876,0,0,0,817
12171,11697,11697,15249,15374,0,13485,12802,13381,12811,12900,12900,15399,12761,15008,14712,16944,15813
204,206,206,14716,500,446,292,256,259,152,204,204,507,412,273,381,495,470
2860,2983,2983,2649,2300,2171,2833,2378,2800,2016,2648,2648,2778,2516,2501,1021,2066,2434
0,0,0,0,0,221,0,0,0,134,0,0,0,0,0,0,0,0
0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0
0,0,0,0,2766,0,0,0,0,0,0,0,0,0,0,5232,0,0
0,81,81,0,0,0,90,87,0,0,0,0,82,0,0,0,0,84
2095,2257,2257,3546,3067,2566,2752,2909,3211,1898,1725,1725,3359,2733,3080,2181,3013,3074
